114.15880565715476, 4.1852636773295455e-37
157.916783936594, 5.634769129092656e-37
206.3381846467109, 7.611395786325643e-37
269.60684850569726, 1.0153981010250661e-36
357.861241858613, 1.3754521574900386e-36
475.00524980871364, 1.858664635399149e-36
630.4957367665492, 2.485495341998871e-36
836.8852223020237, 3.332975458346595e-36
1110.8352276881978, 4.42335248859724e-36
1451.4462529507264, 5.7660548299019714e-36
1957.118551508908, 7.764148457261388e-36
2723.316825411245, 1.0607048308004258e-35
3730.325891451328, 1.4256123680687715e-35
5190.722481591256, 1.896742629867214e-35
7110.111569737888, 2.581089210268042e-35
9773.34745564489, 3.3552353584361434e-35
13766.973830033818, 4.308391152099208e-35
19460.408513380615, 5.554861433872206e-35
27508.40556415336, 7.224415674380914e-35
40127.651684398006, 9.645754242343532e-35
56722.741257590606, 1.219953727928214e-34
80180.85386807121, 1.5340385137024538e-34
113340.24386828547, 1.8965573269348562e-34
160212.9468620919, 2.3129658110673444e-34
226470.20569379439, 2.8208010204535534e-34
320128.64797461085, 3.418864113223451e-34
452520.2374418131, 4.089256423386005e-34
639663.3559350673, 4.860858716760452e-34
904200.9065477968, 5.761353478089781e-34
1278139.9337886292, 6.839973276306724e-34
1806724.234089056, 7.95435160995739e-34
2553908.5132633955, 9.431828550300257e-34
3610096.422605325, 1.107787445611385e-33
5103078.717512232, 1.275020203471032e-33
7213494.97317106, 1.4650732322253454e-33
10196689.608059004, 1.7172041310897917e-33
14413606.628936525, 1.968278965141181e-33
20374461.128004197, 2.2757406629437623e-33
28800471.453353617, 2.6084799098089484e-33
40711121.178824835, 2.9849280179033964e-33
57547508.912183836, 3.417116762844908e-33
80582462.8392298, 3.870848983936069e-33
114988248.97230116, 4.417588502860647e-33
167211175.89393577, 5.090152333052622e-33
237107478.9815796, 5.813438368106008e-33
335165044.94931436, 6.583997948631446e-33
473775048.5070273, 7.40445792799672e-33
669708252.6066544, 8.35475220060332e-33
946671094.273134, 9.39975959508739e-33
1338173984.3344371, 1.0610519308964128e-32
1891585813.8928568, 1.1942614206567867e-32
2673865232.1808186, 1.335330365195967e-32
3779662137.1100793, 1.507330956757952e-32
5342769597.647897, 1.677037829996183e-32
7552311804.085348, 1.882903583455082e-32
9487464214.183773, 1.9627226128122098e-32
