# Flavour-composition curves of IceCube's three-flavour characterization,
# extracted from the vector paths of arXiv:2510.24957 Fig. 1 (MESE fit) by
# extract_flavor2510_fig1.py: barycentric map through the triangle's own
# vertices (bottom-left nu_tau, bottom-right nu_e, top nu_mu). The inline
# '68% CL' / '95% CL' labels cut the strokes in the source; those gaps are
# bridged with tangent-matched cubic arcs. The 95% contour leaves the
# triangle through f_tau = 0 and stays open there.
# name,f_e,f_mu,f_tau
contour95,0.3526,0.1178,0.5296
contour95,0.3426,0.1156,0.5419
contour95,0.3315,0.1150,0.5535
contour95,0.2985,0.1121,0.5894
contour95,0.2765,0.1127,0.6108
contour95,0.2654,0.1133,0.6212
contour95,0.2544,0.1136,0.6319
contour95,0.2434,0.1144,0.6421
contour95,0.2325,0.1168,0.6508
contour95,0.2298,0.1171,0.6531
contour95,0.2153,0.1204,0.6643
contour95,0.1995,0.1230,0.6775
contour95,0.1835,0.1296,0.6869
contour95,0.1776,0.1321,0.6903
contour95,0.1651,0.1367,0.6982
contour95,0.1556,0.1406,0.7038
contour95,0.1447,0.1463,0.7091
contour95,0.1338,0.1550,0.7112
contour95,0.1228,0.1639,0.7133
contour95,0.1119,0.1724,0.7157
contour95,0.1010,0.1807,0.7183
contour95,0.0901,0.1954,0.7145
contour95,0.0793,0.2115,0.7093
contour95,0.0666,0.2342,0.6992
contour95,0.0576,0.2488,0.6936
contour95,0.0553,0.2565,0.6882
contour95,0.0523,0.2817,0.6660
contour95,0.0519,0.2932,0.6549
contour95,0.0527,0.3146,0.6327
contour95,0.0533,0.3251,0.6216
contour95,0.0573,0.3434,0.5993
contour95,0.0581,0.3537,0.5882
contour95,0.0588,0.3555,0.5857
contour95,0.0653,0.3689,0.5659
contour95,0.0673,0.3780,0.5548
contour95,0.0759,0.3917,0.5324
contour95,0.0781,0.4006,0.5213
contour95,0.0823,0.4075,0.5102
contour95,0.0865,0.4145,0.4990
contour95,0.0893,0.4228,0.4879
contour95,0.0933,0.4299,0.4767
contour95,0.0973,0.4371,0.4656
contour95,0.1038,0.4512,0.4450
contour95,0.1047,0.4520,0.4433
contour95,0.1175,0.4616,0.4209
contour95,0.1219,0.4683,0.4098
contour95,0.1260,0.4721,0.4019
