18708.404869713675, 1.0486351069814992e-24
22791.184057500253, 1.0810696855522982e-24
26567.44142370332, 1.1212083677803145e-24
32570.903061242243, 1.1972768652200846e-24
41209.16170886187, 1.2961034415106798e-24
49854.36554084274, 1.4000226757835427e-24
59087.664637440605, 1.5140947540753264e-24
71751.61690595072, 1.6529812423086563e-24
87456.89217419781, 1.83305027392959e-24
103196.97799389016, 2.004088163486653e-24
122855.68200414204, 2.218930208543922e-24
152852.64375095334, 2.4551328130177954e-24
331175.3756266837, 4.111777156035491e-24
400462.01353706524, 4.866331997163082e-24
473351.53428935225, 5.317066890773648e-24
576709.0854895615, 6.092861520193495e-24
717563.9517809018, 7.189830426176325e-24
871407.5899626573, 8.366195245732012e-24
1032847.8499504983, 9.53770097136053e-24
1239154.7952408053, 1.1021615502983413e-23
1528869.1748055315, 1.2642548376876583e-23
1862722.163693615, 1.4657999559667765e-23
2192390.888261744, 1.6486731479013014e-23
2662472.0152534316, 1.9486407257252878e-23
3312821.2084475504, 2.3518176016620926e-23
8716865.49883422, 4.773980613907344e-23
10332151.37637079, 5.65319667599957e-23
12395882.834437696, 6.492435676995344e-23
15294530.266146015, 7.70731605878594e-23
18573644.21067397, 8.973957973917241e-23
22014620.539530013, 1.0207142660223572e-22
26411816.914778072, 1.1733186305005451e-22
32587966.629632752, 1.393918227560465e-22
39426822.21523582, 1.601816036866994e-22
46731184.14900647, 1.826115925104804e-22
56750005.2155193, 2.1164991590190844e-22
70611684.20989257, 2.540073779606095e-22
85749991.26274446, 2.932354661555007e-22
101637446.08796246, 3.381504487772853e-22
121938282.6239261, 3.8799426615822965e-22
150453748.9434457, 4.654598916337044e-22
182709851.461642, 5.392510641304359e-22
215047629.47463623, 6.107135142237797e-22
259814008.13456127, 7.040858464811415e-22
326002402.05896914, 8.450107061035135e-22
395898686.2333101, 9.894337138613452e-22
469248388.9623619, 1.1383730963734356e-21
562975375.8858441, 1.3070693436213857e-21
694629667.3461566, 1.5718622778161378e-21
843559379.8519315, 1.8362991431482766e-21
999855355.6704856, 2.1272964231543256e-21
1199569110.1426346, 2.4515169493049975e-21
1505185853.019402, 2.990597910050696e-21
1845484533.6813598, 3.526430030684929e-21
2174712228.135085, 4.114576518898841e-21
2577629694.1479363, 4.7339434127475585e-21
3153823589.5501404, 5.700102151537043e-21
3842558417.06965, 6.6961399689244195e-21
4507924652.850635, 7.620497758359652e-21
5446473908.6023035, 9.024421985889375e-21
6720257225.960029, 1.1029106531327224e-20
7433446730.955974, 1.198065702650216e-20
191728.5414899224, 2.911835139155275e-24
251426.57221207098, 3.5237541480006064e-24
4589779.495898353, 3.059697498944921e-23
6420078.54156034, 3.82246090550054e-23
